file,ccc,best_lag_frames,pred_csv
Subject_10_Story_1,0.019492636392371438,-10,speech\runs\compare\run_20250918_153529\best_model\smooth\Subject_10_Story_1_pred.csv
Subject_1_Story_1,0.03065865058451944,10,speech\runs\compare\run_20250918_153529\best_model\smooth\Subject_1_Story_1_pred.csv
Subject_2_Story_1,0.005309364449362831,-10,speech\runs\compare\run_20250918_153529\best_model\smooth\Subject_2_Story_1_pred.csv
Subject_3_Story_1,0.006098308132532844,-10,speech\runs\compare\run_20250918_153529\best_model\smooth\Subject_3_Story_1_pred.csv
Subject_4_Story_1,0.03231065526717736,-10,speech\runs\compare\run_20250918_153529\best_model\smooth\Subject_4_Story_1_pred.csv
Subject_5_Story_1,0.04298218785962097,-10,speech\runs\compare\run_20250918_153529\best_model\smooth\Subject_5_Story_1_pred.csv
Subject_6_Story_1,0.04434521392333031,10,speech\runs\compare\run_20250918_153529\best_model\smooth\Subject_6_Story_1_pred.csv
Subject_7_Story_1,0.0027770292291972687,10,speech\runs\compare\run_20250918_153529\best_model\smooth\Subject_7_Story_1_pred.csv
Subject_8_Story_1,0.054707832954393715,-10,speech\runs\compare\run_20250918_153529\best_model\smooth\Subject_8_Story_1_pred.csv
Subject_9_Story_1,0.00017538803289212274,-10,speech\runs\compare\run_20250918_153529\best_model\smooth\Subject_9_Story_1_pred.csv
